time_s,fixed_total_bps,greedy_total_bps,opt_total_bps,fixed_min_bps,greedy_min_bps,opt_min_bps,fixed_jain,greedy_jain,opt_jain
15.000000,1765046766.779987,1922464759.088046,1923030390.255905,43125772.936816,70886043.443441,73123943.812480,0.898624,0.978915,0.982204
16.000000,1761100216.030901,1918464663.573856,1919412534.415996,42732946.351552,71479591.563195,72188035.200324,0.897117,0.980354,0.981604
17.000000,1756017562.661089,1910975893.805798,1912583659.065514,42182628.456635,70995212.062023,70956258.999057,0.894965,0.980378,0.980546
18.000000,1752426810.841773,1905734107.197440,1907108310.339939,42006159.453374,70679909.195671,70570818.954771,0.893266,0.979690,0.979725
19.000000,1752071951.836542,1904136623.360124,1905479538.183438,42096653.717301,70803706.724480,70635014.581920,0.892595,0.979504,0.979406
20.000000,1755726958.240253,1909909507.147440,1910997917.199762,42193078.877079,70934904.119017,70707599.124258,0.894111,0.980726,0.980470
21.000000,1758920530.480408,1916414994.166023,1917163912.438910,42596233.289691,71742169.672873,71436840.766612,0.895931,0.982048,0.981642
22.000000,1761904498.836426,1923159381.814363,1923514416.675453,43082305.763966,72763128.628297,72364098.223532,0.897615,0.983244,0.982676
23.000000,1763318296.759665,1930227005.466200,1929966006.061848,43572081.071840,73798548.506281,73298505.596232,0.899390,0.984291,0.983568
24.000000,1762543168.956083,1935688183.091248,1934576034.880992,43927556.108565,74639775.217575,74021832.599243,0.900644,0.985015,0.984120
25.000000,1761315123.486103,1940364040.693006,1938318174.036156,44227287.864308,75392739.310637,74647509.129835,0.901731,0.985601,0.984524
26.000000,1759554430.556595,1943633110.280158,1940592832.600134,44437608.744714,76040350.844865,75147261.494924,0.902424,0.986037,0.984748
27.000000,1756305360.094337,1946635780.670321,1942497617.977866,44572692.470434,76199103.914595,75473654.109854,0.903008,0.986235,0.984730
28.000000,1752054761.029945,1945998551.361262,1940805332.074805,44485068.840344,75841317.198922,75411558.313319,0.902729,0.986116,0.984349
29.000000,1746943674.502481,1942965283.823519,1936690116.745556,44321244.326813,75445748.981491,75131627.883709,0.902064,0.985886,0.983838
30.000000,1741035674.127419,1938733595.214126,1931278196.703732,44097017.450947,75003602.432731,74570978.697441,0.901181,0.985546,0.983177
31.000000,1735245640.406364,1933064247.595248,1924514483.173690,43781567.060358,74488644.527251,73925481.373781,0.899855,0.985021,0.982290
32.000000,1728747821.499734,1927037038.844166,1917225264.174186,43414534.592378,74084914.497438,73371217.081308,0.898437,0.984434,0.981299
33.000000,1722895467.579308,1920097141.482505,1909283649.355272,43322036.538896,73671191.860750,72783008.346066,0.897147,0.984046,0.980516
34.000000,1718691815.997040,1916376562.959961,1903233573.231343,43460137.820125,74712730.106288,72411023.966616,0.896663,0.986430,0.980058
35.000000,1713929504.733817,1909196988.647381,1895911546.109848,43519937.609733,75574242.791434,71871488.374892,0.895910,0.988385,0.979370
