time_s,total_rate_bps,jain,min_rate_bps,mean_rate_bps,handovers
95.000000,1882201483.628309,0.894736,50416743.088379,94110074.181415,0.000000
96.000000,1882395755.179659,0.894550,50346664.563749,94119787.758983,0.000000
97.000000,1882879828.930130,0.894519,50295027.670852,94143991.446507,0.000000
98.000000,1883501759.228752,0.894342,50254778.038662,94175087.961438,0.000000
99.000000,1883310252.260210,0.894117,50175065.054711,94165512.613010,0.000000
100.000000,1883079661.687753,0.894095,50101451.117653,94153983.084388,0.000000
101.000000,1882946148.575357,0.894091,50064030.258235,94147307.428768,0.000000
102.000000,1883045634.335444,0.893944,50025755.923655,94152281.716772,0.000000
103.000000,1883124366.092323,0.893940,49998845.776441,94156218.304616,0.000000
104.000000,1883479873.373473,0.893855,49959237.721915,94173993.668674,0.000000
105.000000,1883512587.512662,0.893888,49922218.848823,94175629.375633,0.000000
106.000000,1883724520.557905,0.893979,49866498.677359,94186226.027895,0.000000
107.000000,1883786596.961353,0.894157,49828854.041477,94189329.848068,0.000000
108.000000,1883636331.406341,0.894205,49761159.365829,94181816.570317,0.000000
109.000000,1883454021.780392,0.894369,49715541.736371,94172701.089020,0.000000
110.000000,1883556413.392513,0.894561,49752010.514995,94177820.669626,0.000000
111.000000,1883687799.319067,0.894762,49764061.855800,94184389.965953,0.000000
112.000000,1883882217.817542,0.894876,49758756.400130,94194110.890877,0.000000
113.000000,1883542113.795365,0.895094,49779609.091794,94177105.689768,0.000000
114.000000,1883229855.979249,0.895315,49776193.209761,94161492.798962,0.000000
115.000000,1882879168.650486,0.895473,49757979.042249,94143958.432524,0.000000
116.000000,1882540452.583547,0.895699,49716148.612025,94127022.629177,0.000000
117.000000,1882373218.289172,0.895984,49701287.258246,94118660.914459,0.000000
118.000000,1882386458.757744,0.896155,49637188.145836,94119322.937887,0.000000
119.000000,1882511243.495982,0.896292,49744991.188119,94125562.174799,0.000000
120.000000,1882375058.324383,0.896399,49868733.521141,94118752.916219,0.000000
121.000000,1882147495.992090,0.896470,49986720.556367,94107374.799604,0.000000
122.000000,1882780335.598779,0.896488,50072404.738672,94139016.779939,0.000000
123.000000,1882532860.799453,0.896426,50125885.811390,94126643.039973,0.000000
124.000000,1882749666.020426,0.896549,50195151.078849,94137483.301021,0.000000
125.000000,1883016325.051073,0.896711,50298673.719587,94150816.252554,0.000000
126.000000,1882829100.039246,0.896807,50406072.000025,94141455.001962,0.000000
127.000000,1882835316.364218,0.896964,50465854.635027,94141765.818211,0.000000
128.000000,1882645407.983404,0.897019,50539202.496450,94132270.399170,0.000000
129.000000,1883273413.002871,0.897084,50555697.891530,94163670.650144,0.000000
130.000000,1884126657.333072,0.897079,50544856.824311,94206332.866654,0.000000
131.000000,1884248853.560432,0.896964,50498894.861775,94212442.678022,0.000000
132.000000,1884411832.874270,0.896923,50475414.467856,94220591.643714,0.000000
133.000000,1884170596.242844,0.896912,50499339.333938,94208529.812142,0.000000
134.000000,1883770114.501580,0.896840,50495702.184674,94188505.725079,0.000000
135.000000,1884006070.183056,0.896745,50547037.279647,94200303.509153,0.000000
136.000000,1884910295.077837,0.896673,50583191.988212,94245514.753892,0.000000
137.000000,1885478397.010360,0.896614,50647324.350879,94273919.850518,0.000000
138.000000,1885986946.167715,0.896585,50673049.240785,94299347.308386,0.000000
139.000000,1887252337.481620,0.896484,50713165.444856,94362616.874081,0.000000
140.000000,1887884435.203323,0.896462,50762737.259163,94394221.760166,0.000000
141.000000,1888661168.518006,0.896447,50798210.700106,94433058.425900,0.000000
142.000000,1889425492.550609,0.896368,50807342.856592,94471274.627530,0.000000
143.000000,1890168260.970276,0.896423,50819226.397851,94508413.048514,0.000000
144.000000,1890133784.321903,0.896576,50825051.215320,94506689.216095,0.000000
145.000000,1889653315.022510,0.896514,50830460.702909,94482665.751125,0.000000
146.000000,1889448682.804541,0.896539,50869893.691755,94472434.140227,0.000000
147.000000,1889484611.366379,0.896514,50897539.821804,94474230.568319,0.000000
148.000000,1889267377.590217,0.896508,50917142.941092,94463368.879511,0.000000
149.000000,1888859053.818350,0.896399,50888526.612231,94442952.690918,0.000000
150.000000,1888693895.932747,0.896336,50863825.955741,94434694.796637,0.000000
151.000000,1888573165.342254,0.896333,50844991.666361,94428658.267113,0.000000
152.000000,1888470814.404492,0.896288,50812847.879742,94423540.720225,0.000000
153.000000,1888341872.281710,0.896220,50824591.744071,94417093.614086,0.000000
154.000000,1888410665.825623,0.896083,50824314.945022,94420533.291281,0.000000
155.000000,1887476543.796408,0.895973,50799263.259142,94373827.189820,0.000000
156.000000,1886481182.747809,0.896002,50799554.618135,94324059.137390,0.000000
157.000000,1886602174.152492,0.896087,50834083.714416,94330108.707625,0.000000
158.000000,1886527428.800925,0.896062,50885012.558690,94326371.440046,0.000000
159.000000,1886697934.584462,0.896017,50878238.712947,94334896.729223,0.000000
160.000000,1886849062.502634,0.895933,50862542.587370,94342453.125132,0.000000
161.000000,1886693300.375711,0.895876,50846051.143059,94334665.018786,0.000000
162.000000,1886804630.584179,0.895703,50848858.918287,94340231.529209,0.000000
163.000000,1886958513.287394,0.895516,50801101.319407,94347925.664370,0.000000
164.000000,1886873462.211815,0.895309,50804069.714942,94343673.110591,0.000000
165.000000,1886793702.975379,0.895259,50802096.438717,94339685.148769,0.000000
166.000000,1886082584.427404,0.895114,50801014.784814,94304129.221370,0.000000
167.000000,1885459354.838556,0.895035,50839506.718665,94272967.741928,0.000000
168.000000,1884306661.030090,0.894953,50883084.535728,94215333.051505,0.000000
169.000000,1883231707.733211,0.894760,50940529.615954,94161585.386661,0.000000
170.000000,1882316126.765678,0.894606,51003321.374066,94115806.338284,0.000000
171.000000,1882063774.886646,0.894577,51044947.453079,94103188.744332,0.000000
172.000000,1882355276.018071,0.894637,51056034.309407,94117763.800904,0.000000
173.000000,1882703495.297859,0.894650,51026015.490046,94135174.764893,0.000000
174.000000,1882633027.621746,0.894659,50977408.259706,94131651.381087,0.000000
175.000000,1882526050.240805,0.894624,50938232.167566,94126302.512040,0.000000
176.000000,1882587907.430387,0.894531,50898016.379233,94129395.371519,0.000000
177.000000,1882407324.123895,0.894325,50868928.563172,94120366.206195,0.000000
