time_s,fixed_total_bps,greedy_total_bps,opt_total_bps,fixed_min_bps,greedy_min_bps,opt_min_bps,fixed_jain,greedy_jain,opt_jain
85.000000,1939648578.703500,1948154547.485050,1949234588.182655,58957860.371412,69241831.475206,66401109.972434,0.972947,0.980688,0.978731
86.000000,1940255444.660717,1948228042.347606,1949412552.311150,58054304.392559,68183680.247231,65263083.405466,0.972689,0.980550,0.978643
87.000000,1940165322.192827,1947528030.874168,1948883110.070516,57193986.557251,67167507.988563,64165530.711697,0.972343,0.980287,0.978434
88.000000,1940343210.008302,1947046125.623479,1948612182.018041,56344787.546409,66158460.943224,63074548.001073,0.971962,0.979990,0.978189
89.000000,1940395116.986336,1946691093.103675,1948420341.066185,55568322.735951,65228626.022768,62060097.555427,0.971539,0.979655,0.977898
90.000000,1940084507.741399,1945874076.612790,1947831428.811586,54710832.722651,64194668.235436,60946933.853448,0.971056,0.979263,0.977545
91.000000,1941134533.315415,1946498077.891977,1948692816.583987,53922345.638705,63237331.994841,59907790.975121,0.971100,0.979389,0.977688
92.000000,1941865900.268642,1948234349.871092,1949184944.236745,53309058.782991,60956671.894513,59059906.455832,0.971206,0.979889,0.977870
93.000000,1942061723.373755,1947873904.312556,1949094129.776003,52737444.863247,58715135.473135,58256691.873497,0.971159,0.979788,0.977900
94.000000,1942608822.250452,1947466751.290164,1949377675.087453,52078223.524668,57154282.377725,57357295.674059,0.971236,0.979591,0.977992
95.000000,1943303820.831335,1947994304.298847,1949836012.440109,51683862.236870,56638279.780128,56748714.474700,0.971649,0.979825,0.978330
96.000000,1944966125.506993,1949520955.163272,1951320686.125659,51716968.364286,56645663.790956,56639042.816341,0.972252,0.980250,0.978847
97.000000,1946769282.318376,1951215704.099448,1952958422.007452,52290852.088106,57331428.988086,57170385.426714,0.973014,0.980883,0.979536
98.000000,1948455173.740613,1952897106.523168,1954579061.389390,52856174.890372,58016201.780116,57695482.491118,0.973734,0.981457,0.980164
99.000000,1949087130.642456,1953442025.108276,1955103999.064553,53439624.696418,58714060.027160,58235711.681939,0.974287,0.981892,0.980640
100.000000,1949595937.917534,1953808690.150732,1955429270.285715,53895523.519514,59279698.775162,58640071.824984,0.974760,0.982208,0.981001
101.000000,1949625667.398439,1953640132.116788,1955233261.910055,54493225.564403,59993949.424392,59194902.449344,0.975255,0.982525,0.981365
102.000000,1949563810.384844,1954725477.764780,1954847789.635942,55094738.162711,59015258.491043,59753333.411284,0.975781,0.981319,0.981704
103.000000,1949659439.064539,1954264561.014862,1954655002.415725,55752206.312388,58051698.387676,60368905.723258,0.976308,0.979905,0.982032
104.000000,1949787175.079887,1953467411.615427,1954533515.274552,56385605.228547,57878724.117088,60959426.193593,0.976853,0.979359,0.982340
105.000000,1949580945.204687,1953224059.906566,1954038921.741457,57096939.556206,58626010.193942,61627942.051559,0.977430,0.979839,0.982647
106.000000,1948953881.329453,1952542037.449679,1953104674.062435,57825120.012998,59390412.579430,62312200.895132,0.978004,0.980309,0.982916
107.000000,1947658584.780542,1951207284.816440,1951563007.748156,58494332.092028,60097209.228754,62938681.539877,0.978392,0.980597,0.983005
108.000000,1946470883.075031,1949939433.454988,1950019974.484026,59211245.263017,60851320.094257,63611182.668517,0.978772,0.980866,0.983048
109.000000,1944536616.405271,1947970656.705050,1947835691.376938,59867639.736722,61548523.615559,64232006.124272,0.979066,0.981075,0.983050
110.000000,1941917241.443520,1945403045.117162,1945190983.716497,60402057.019699,62120654.788546,64724478.885906,0.979449,0.981369,0.983115
111.000000,1938938568.729560,1942470310.640504,1942174911.664227,60848499.418570,62604091.230341,65129981.037376,0.979937,0.981749,0.983222
112.000000,1936133263.753561,1939748989.425148,1939456415.884598,61395990.054986,63189693.897680,65640068.059562,0.980343,0.982047,0.983240
113.000000,1932618502.985992,1936296343.140220,1935995151.792335,61734618.826355,63566028.976907,65947648.950433,0.980626,0.982226,0.983134
114.000000,1928601000.878313,1932313775.775460,1932009390.193262,61798982.841985,63659960.190286,65968388.073446,0.980785,0.982272,0.982868
115.000000,1925484702.545410,1929412022.817880,1929437339.307609,61856078.253937,63746225.043907,65986145.333316,0.980929,0.982363,0.982752
116.000000,1922252167.056753,1926495672.129383,1927033882.258202,61857117.191157,63774611.193740,65949551.789246,0.980956,0.982362,0.982588
117.000000,1917762353.733362,1922327777.527243,1923445190.626894,61690490.264193,63629573.970163,65739156.958073,0.980903,0.982287,0.982345
118.000000,1912976030.122913,1919407306.486523,1919793883.518043,61514776.353643,65578251.751279,65531436.588496,0.980725,0.982903,0.981969
119.000000,1908407189.256937,1915256839.744203,1916439307.518540,61221170.913144,67457618.167070,65198195.692287,0.980466,0.982990,0.981506
120.000000,1903502785.042299,1912417689.173095,1912671563.091238,60616656.354259,65944832.075362,64517866.219114,0.980096,0.981644,0.980915
121.000000,1898438331.777138,1908291556.715041,1908878131.206680,60072217.768342,64526904.762113,64164029.774440,0.979729,0.979905,0.980358
122.000000,1893366761.836207,1904126181.853214,1905215613.388194,59349889.184842,63353219.904871,63612591.515729,0.979311,0.978496,0.979700
123.000000,1888035188.472953,1900660016.747024,1901341726.871126,58598980.440015,62676120.361847,63033283.782872,0.978861,0.977886,0.978947
124.000000,1883172216.953154,1897764156.752112,1898128158.645159,57897879.122764,62035364.533369,62497376.173699,0.978379,0.977313,0.978204
125.000000,1879494002.053068,1895847203.316250,1896014809.592533,59046587.387182,63230087.989749,63833122.473432,0.978562,0.977317,0.978022
126.000000,1876016095.366839,1894044414.147055,1894093630.247865,60145118.192501,63289301.678854,63679589.893902,0.978703,0.977308,0.977805
127.000000,1872472053.426174,1892028315.426198,1892037982.901092,61058979.016158,63307943.202107,63351590.994318,0.978863,0.977491,0.977764
128.000000,1868648191.882592,1889622214.191383,1889652212.416455,61894081.211793,63114336.242148,62812770.348413,0.978962,0.977509,0.977545
129.000000,1864358905.979301,1886757595.654501,1886849833.031389,62920858.314383,62863623.672013,62225018.896935,0.979018,0.977466,0.977244
130.000000,1860613168.736052,1884358245.034399,1884566511.720189,63993945.958584,62620012.451103,61650198.850010,0.979082,0.977356,0.976859
131.000000,1857210487.042536,1882256460.314754,1882631366.620248,65072947.327198,62513362.665520,61215708.077823,0.978977,0.977148,0.976366
132.000000,1852907931.264864,1879439560.284384,1880072327.773384,66414662.884123,62468055.809488,60843843.438871,0.978857,0.976981,0.975901
133.000000,1847635366.760143,1875460880.258743,1876397344.105980,67587083.410657,62298621.237728,60355783.212380,0.978522,0.976622,0.975233
134.000000,1842185930.401407,1871276353.328873,1872593463.098297,68448254.244906,62250933.278580,59990781.646994,0.978032,0.976189,0.974491
135.000000,1836656439.733364,1867092450.584690,1868901427.378462,67916201.472923,62184473.252224,59612217.147396,0.977606,0.975894,0.973889
136.000000,1832195396.839190,1865779169.931973,1866457981.302583,67543839.084830,60665836.703063,59217275.328824,0.977350,0.974885,0.973536
137.000000,1829054400.671088,1864739374.722003,1865526205.750900,67500081.703280,59179679.172042,58820278.486188,0.977174,0.973705,0.973403
138.000000,1824821401.127135,1862616784.268377,1863850361.955954,67316241.115683,58410996.186963,58403535.218007,0.976780,0.972935,0.973079
139.000000,1819217074.763980,1861294200.790386,1861180132.835566,66658901.862664,56576599.157856,57945753.977515,0.976136,0.971128,0.972671
140.000000,1813181499.688247,1858367632.309894,1858156517.184695,65865600.297934,54982976.248002,57729402.153073,0.975410,0.969037,0.972295
141.000000,1806928321.085305,1855037134.166509,1854966905.877015,65201519.721656,54126777.444044,57402902.073152,0.974702,0.967938,0.971964
142.000000,1800776803.154913,1852163094.852123,1851706831.232372,64536789.237091,54464368.663915,57459063.543232,0.974035,0.968069,0.971699
143.000000,1795712325.955590,1850609485.619092,1849879774.197047,63968523.406393,55248599.686249,57983549.765019,0.973384,0.968657,0.971856
144.000000,1791500134.251226,1849709428.269282,1848850082.075686,63529950.511167,56099897.286253,58568998.608030,0.972721,0.969471,0.972244
145.000000,1787422015.620986,1848893131.950976,1847996678.829460,63188448.250041,56955295.118463,59145603.110732,0.972084,0.970214,0.972592
146.000000,1782760015.766593,1847618233.173650,1846775847.854419,63051593.831448,57819328.761289,59719567.736432,0.971363,0.970946,0.972953
